本塁打
8
13
25
23
3
19
14
24
14
9
15
4
30
31
4
28
6
31
3
11
18
21
24
14
32
4
31
35
16
2
18
15
3
32
26
16
15
26
35
6
17
10
9
9
4
27
23
15
20
4
13
8
17
5
2
24
10
4
47
7
13
32
8
1
34
10
4
33
5
22
38
25
26
3
28
26
32
38
14
9
10
39
8
9
5
16
10
36
24
21
15
30
3
18
16
26
18
25
14
13
11
11
3
7
29
10
18
13
26
41
8
11
1
5
12
20
5
13
35
9
40
33
27
31
43
3
26
13
15
28
29
2
2
31
18
20
36
5
14
17
16
10
43
2
30
3
23
2
10
16
30
29
32
11
12
33
3
36
24
24
13
12
9
0
7
15
19
7
33
7
6
11
5
12
5
4
32
1
5
9
1
28
29
25
31
8
31
17
8
14
5
27
19
14
25
19
28
8
5
6
17
6
14
13
9
8
14
20
25
15
15
19
7
3
13
10
12
9
18
6
9
24
1
24
8
12
17
16
10
10
17
9
39
10
21
21
1
18
28
39
34
14
16
8
12
3
29
11
9
32
16
14
38
17
22
1
22
5
11
2
21
8
9
27
13
3
2
19
12
5
12
10
12
18
10
1
14
20
3
5
23
24
3
21
21
3
4
2
10
