選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
荻野　貴司,ロッテ,0.296,143,643,570,169,10,45,24,53,12,70,5,5,0.367,0.425,0.791,5.88,5.69
鈴木　大地,楽天,0.277,143,628,552,153,10,53,3,52,6,51,13,12,0.343,0.377,0.72,4.58,4.57
佐野　恵太,DeNA,0.303,143,615,545,165,17,72,0,61,5,73,0,14,0.376,0.466,0.842,6.32,6.13
中村　奨吾,ロッテ,0.283,143,615,506,143,9,67,12,76,10,90,15,8,0.382,0.415,0.797,5.79,5.74
村上　宗隆,ヤクルト,0.278,143,615,500,139,39,112,12,106,6,133,0,12,0.408,0.566,0.974,8.02,7.94
近本　光司,阪神,0.313,140,612,569,178,10,50,24,33,4,58,4,6,0.354,0.441,0.795,5.95,5.67
島内　宏明,楽天,0.257,141,599,486,125,21,96,2,97,8,87,2,15,0.385,0.477,0.863,6.39,6.38
栗原　陵矢,ソフトバンク,0.275,143,596,531,146,21,77,7,53,2,90,3,9,0.339,0.465,0.804,5.64,5.63
大島　洋平,中日,0.292,141,596,548,160,1,34,16,42,3,60,1,4,0.345,0.35,0.695,4.65,4.48
浅村　栄斗,楽天,0.269,143,595,483,130,18,67,1,101,4,96,0,24,0.395,0.422,0.817,5.77,5.84
柳田　悠岐,ソフトバンク,0.3,141,593,516,155,28,80,6,69,6,122,0,6,0.388,0.541,0.929,7.89,7.59
岡本　和真,巨人,0.265,143,592,521,138,39,113,1,57,7,108,0,16,0.341,0.53,0.871,6.04,6.17
山田　哲人,ヤクルト,0.272,137,581,493,134,34,101,4,76,5,100,0,10,0.37,0.515,0.885,6.71,6.84
桑原　将志,DeNA,0.31,135,571,519,161,14,43,12,44,4,75,4,12,0.369,0.474,0.843,6.17,5.84
宮﨑　敏郎,DeNA,0.301,141,569,519,156,16,73,0,41,4,53,0,15,0.353,0.455,0.808,5.67,5.52
中村　晃,ソフトバンク,0.245,139,552,462,113,8,56,1,70,3,59,11,8,0.344,0.348,0.692,4.36,4.44
西川　龍馬,広島,0.286,137,551,504,144,12,60,3,37,2,70,4,14,0.335,0.399,0.733,4.55,4.51
西川　遥輝,日本ハム,0.233,130,547,447,104,3,35,24,89,4,99,3,3,0.362,0.318,0.68,4.58,4.66
レアード,ロッテ,0.262,136,545,485,127,29,95,0,50,3,109,0,15,0.33,0.478,0.809,5.25,5.39
近藤　健介,日本ハム,0.298,133,545,447,133,11,69,4,88,4,84,0,11,0.413,0.472,0.885,7.35,7.14
宗　佑磨,オリックス,0.272,139,543,481,131,9,42,8,33,13,62,14,15,0.335,0.393,0.728,4.35,4.27
