選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
今江　年晶,楽天,0.276,127,465,421,116,10,49,0,32,7,76,0,19,0.334,0.397,0.731,4.14,4.12
田中　和基,楽天,0.265,105,465,423,112,18,45,21,37,0,101,4,4,0.323,0.423,0.746,5.0,5.02
亀井　善行,巨人,0.254,123,461,422,107,13,49,4,36,2,70,0,6,0.315,0.393,0.708,4.47,4.43
ロペス,DeNA,0.288,110,459,441,127,26,77,0,16,1,58,0,12,0.314,0.517,0.831,5.54,5.44
ソト,DeNA,0.31,107,459,416,129,41,95,0,29,9,100,0,5,0.364,0.644,1.008,8.39,8.37
梅野　隆太郎,阪神,0.259,132,455,386,100,8,47,5,39,1,67,28,6,0.328,0.396,0.724,4.42,4.27
島内　宏明,楽天,0.292,103,453,394,115,11,53,11,47,6,45,3,10,0.373,0.431,0.805,5.79,5.71
中島　卓也,日本ハム,0.261,132,449,391,102,1,23,29,35,0,88,22,4,0.321,0.312,0.633,3.81,3.75
野間　峻祥,広島,0.286,126,447,405,116,5,46,17,30,6,69,4,2,0.343,0.393,0.736,4.95,4.86
松山　竜平,広島,0.302,124,446,397,120,12,74,2,42,2,46,0,10,0.368,0.466,0.834,6.24,6.07
