打率,試合,打席数,打数,安打,打点,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
0.265,140,599,540,143,106,43,3,81,0,24,0.316,0.463,0.778,4.59,4.77
0.321,143,598,514,165,86,69,7,74,0,9,0.403,0.553,0.956,8.27,8.02
0.317,139,595,508,161,37,75,3,60,7,15,0.406,0.394,0.8,5.94,5.68
0.318,142,590,551,175,71,38,1,45,0,16,0.363,0.532,0.894,6.8,6.49
0.348,135,582,512,178,99,51,15,61,0,24,0.419,0.555,0.974,7.91,7.61
0.248,143,580,517,128,82,56,4,113,0,12,0.324,0.485,0.81,5.28,5.35
0.295,139,580,495,146,89,80,2,107,0,10,0.393,0.596,0.989,8.33,8.12
0.292,136,580,506,148,57,60,5,68,3,5,0.369,0.435,0.804,6.12,6.02
0.329,138,568,493,162,55,67,3,69,2,7,0.41,0.456,0.866,7.16,6.85
0.327,127,567,495,162,67,51,19,48,0,13,0.409,0.475,0.884,7.18,6.8
0.306,125,566,432,132,97,130,3,130,0,5,0.468,0.627,1.096,10.61,10.35
0.266,143,558,477,127,49,44,17,55,14,11,0.346,0.398,0.744,4.78,4.75
0.323,129,555,462,149,69,87,1,90,0,16,0.427,0.457,0.884,7.43,7.12
0.276,139,552,492,136,48,48,4,47,6,7,0.344,0.36,0.704,4.61,4.51
0.275,136,552,473,130,80,70,2,105,0,3,0.366,0.457,0.823,6.38,6.33
0.242,138,550,479,116,55,40,8,88,20,10,0.309,0.363,0.673,3.67,3.67
0.352,130,550,475,167,102,62,8,105,0,8,0.431,0.661,1.092,10.41,10.02
0.292,133,548,476,139,99,63,3,106,0,7,0.374,0.506,0.88,6.99,6.94
0.285,132,547,499,142,84,41,1,92,0,12,0.336,0.467,0.803,5.52,5.5
0.321,132,546,498,160,77,44,1,95,0,16,0.375,0.486,0.861,6.43,6.13
0.32,124,520,422,135,94,88,5,116,0,4,0.438,0.618,1.057,10.02,9.75
0.219,140,514,465,102,41,25,3,64,16,8,0.261,0.277,0.538,2.3,2.44
0.287,119,510,453,130,67,47,3,102,6,9,0.357,0.472,0.83,5.94,5.81
0.308,119,509,419,129,68,77,8,63,0,9,0.42,0.48,0.9,7.95,7.76
0.233,120,505,450,105,65,44,7,124,0,10,0.309,0.447,0.756,4.6,4.76
0.345,109,502,441,152,67,61,0,83,0,4,0.424,0.537,0.962,8.85,8.3
0.237,119,501,443,105,63,42,10,114,0,10,0.313,0.451,0.765,4.8,4.99
0.28,123,499,414,116,72,73,5,90,0,10,0.389,0.454,0.843,6.48,6.47
0.261,133,487,440,115,63,37,5,119,0,13,0.322,0.405,0.727,4.38,4.42
0.318,125,482,446,142,67,33,1,62,0,13,0.365,0.439,0.805,5.82,5.57
0.254,128,477,433,110,69,30,3,89,8,9,0.305,0.4,0.704,4.09,4.06
0.239,143,476,415,99,35,40,3,68,16,13,0.309,0.328,0.636,3.14,3.15
0.265,112,470,411,109,57,48,5,63,0,9,0.345,0.382,0.727,4.69,4.71
0.238,116,469,407,97,74,55,4,93,0,13,0.333,0.494,0.826,5.42,5.55
0.276,127,465,421,116,49,32,7,76,0,19,0.334,0.397,0.731,4.14,4.12
0.265,105,465,423,112,45,37,0,101,4,4,0.323,0.423,0.746,5.0,5.02
0.254,123,461,422,107,49,36,2,70,0,6,0.315,0.393,0.708,4.47,4.43
0.288,110,459,441,127,77,16,1,58,0,12,0.314,0.517,0.831,5.54,5.44
0.31,107,459,416,129,95,29,9,100,0,5,0.364,0.644,1.008,8.39,8.37
0.259,132,455,386,100,47,39,1,67,28,6,0.328,0.396,0.724,4.42,4.27
0.292,103,453,394,115,53,47,6,45,3,10,0.373,0.431,0.805,5.79,5.71
0.261,132,449,391,102,23,35,0,88,22,4,0.321,0.312,0.633,3.81,3.75
0.286,126,447,405,116,46,30,6,69,4,2,0.343,0.393,0.736,4.95,4.86
0.302,124,446,397,120,74,42,2,46,0,10,0.368,0.466,0.834,6.24,6.07
0.303,143,678,590,179,62,78,9,108,0,8,0.392,0.471,0.864,6.91,6.68
0.288,142,651,548,158,41,93,2,111,8,5,0.393,0.385,0.779,6.13,5.9
0.282,141,648,568,160,55,66,3,121,9,7,0.358,0.421,0.779,5.49,5.35
0.271,142,641,520,141,98,110,6,121,0,14,0.401,0.56,0.961,8.15,8.02
0.271,142,640,586,159,42,31,6,110,14,2,0.313,0.375,0.689,4.25,4.21
0.312,143,639,555,173,94,77,2,123,3,9,0.396,0.575,0.971,8.22,8.0
0.263,143,635,529,139,92,93,4,162,0,12,0.372,0.507,0.878,6.6,6.67
0.292,143,631,535,156,89,86,3,125,0,15,0.388,0.495,0.884,6.82,6.79
0.265,143,628,555,147,94,62,6,132,2,15,0.343,0.485,0.828,5.72,5.69
0.256,143,626,524,134,120,86,13,142,0,13,0.372,0.54,0.912,6.95,6.98
0.312,143,623,558,174,45,50,9,78,3,5,0.376,0.38,0.756,5.85,5.62
0.274,143,621,533,146,90,63,5,132,14,9,0.353,0.493,0.846,6.1,6.1
0.261,138,619,547,143,48,41,1,102,28,5,0.313,0.406,0.719,4.4,4.3
0.288,140,614,527,152,68,56,16,75,13,11,0.373,0.454,0.826,6.06,5.86
0.335,140,612,499,167,87,103,7,81,0,3,0.453,0.565,1.018,9.68,9.29
0.322,143,610,521,168,85,79,5,64,0,12,0.413,0.543,0.956,8.33,8.06
0.274,135,609,540,148,41,40,1,67,25,9,0.324,0.35,0.674,4.01,3.92
0.302,138,600,490,148,59,103,2,81,0,11,0.422,0.4,0.822,6.64,6.44
0.241,142,597,551,133,84,39,4,107,0,18,0.295,0.461,0.756,4.37,4.42
0.315,143,594,534,168,93,41,13,88,0,22,0.374,0.496,0.87,6.31,6.04
0.289,132,594,557,161,77,27,5,111,0,22,0.325,0.451,0.776,4.78,4.71
0.231,143,593,511,118,96,74,5,184,0,9,0.332,0.481,0.814,5.42,5.56
0.304,141,590,529,161,56,52,4,58,4,19,0.37,0.382,0.752,4.87,4.66
0.258,143,587,538,139,76,39,5,98,1,12,0.312,0.401,0.714,4.34,4.29
0.232,143,586,512,119,59,53,12,96,6,10,0.317,0.375,0.692,4.04,4.13
0.297,138,585,535,159,64,32,2,81,11,9,0.336,0.441,0.777,5.1,5.01
0.287,133,585,506,145,57,58,11,65,9,11,0.372,0.407,0.779,5.43,5.29
0.269,141,584,516,139,108,59,5,98,0,14,0.348,0.554,0.902,6.56,6.62
0.25,135,583,492,123,38,62,8,57,19,7,0.342,0.309,0.651,3.85,3.87
0.26,143,576,534,139,76,33,3,115,2,14,0.305,0.483,0.788,4.87,4.91
0.249,140,574,507,126,40,37,3,91,24,10,0.302,0.314,0.615,3.11,3.12
0.329,135,573,492,162,105,72,2,89,1,9,0.413,0.547,0.959,8.38,8.11
0.267,143,572,491,131,45,60,7,70,11,7,0.353,0.336,0.689,4.39,4.34
0.315,125,569,508,160,46,40,8,56,9,4,0.371,0.47,0.842,6.58,6.3
0.297,134,565,489,145,58,61,11,72,1,13,0.385,0.442,0.826,6.17,6.06
0.286,135,557,496,142,123,54,4,123,0,12,0.359,0.528,0.887,6.61,6.49
0.272,131,557,464,126,79,88,2,141,0,5,0.388,0.511,0.899,7.35,7.29
0.248,139,553,487,121,89,55,8,128,0,18,0.333,0.483,0.815,5.22,5.32
0.262,132,543,481,126,58,48,6,120,3,8,0.333,0.385,0.718,4.53,4.59
0.256,137,535,500,128,41,28,2,49,1,16,0.296,0.37,0.666,3.56,3.57
0.261,128,527,426,111,95,81,17,157,0,7,0.397,0.54,0.936,7.57,7.6
0.251,133,524,463,116,33,49,3,81,6,3,0.324,0.292,0.616,3.83,3.9
0.259,130,519,448,116,88,63,5,119,0,6,0.355,0.52,0.875,6.54,6.68
0.242,124,514,450,109,80,55,5,83,0,16,0.329,0.449,0.778,4.84,4.93
0.252,129,509,429,108,65,67,9,98,0,10,0.362,0.462,0.824,5.91,5.99
0.284,131,503,450,128,55,45,0,91,3,6,0.346,0.44,0.786,5.68,5.58
0.273,131,493,447,122,56,37,2,71,1,4,0.327,0.396,0.723,4.75,4.79
0.266,129,492,433,115,59,34,6,83,16,16,0.326,0.393,0.718,4.15,4.08
0.237,137,490,438,104,37,34,6,75,10,7,0.3,0.285,0.585,2.93,2.93
0.291,129,484,447,130,59,31,1,82,3,9,0.337,0.405,0.742,4.89,4.7
0.284,114,473,433,123,49,32,3,35,0,13,0.334,0.443,0.777,5.1,5.07
0.243,117,472,411,100,67,43,8,96,0,22,0.32,0.418,0.738,3.9,4.21
0.293,117,471,430,126,59,32,3,70,5,10,0.345,0.43,0.776,5.11,4.83
0.28,120,468,410,115,93,54,1,117,0,11,0.363,0.554,0.917,6.85,6.88
0.252,123,466,409,103,54,48,3,100,3,13,0.333,0.355,0.687,3.99,3.98
0.279,123,458,427,119,35,26,2,121,3,7,0.323,0.407,0.731,4.43,4.22
0.26,137,454,377,98,43,50,1,114,23,9,0.346,0.387,0.733,4.46,4.5
