選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
大島　洋平,中日,0.312,143,623,558,174,3,45,30,50,9,78,3,5,0.376,0.38,0.756,5.85,5.62
外崎　修汰,西武,0.274,143,621,533,146,26,90,22,63,5,132,14,9,0.353,0.493,0.846,6.1,6.1
菊池　涼介,広島,0.261,138,619,547,143,13,48,14,41,1,102,28,5,0.313,0.406,0.719,4.4,4.3
鈴木　大地,ロッテ,0.288,140,614,527,152,15,68,3,56,16,75,13,11,0.373,0.454,0.826,6.06,5.86
鈴木　誠也,広島,0.335,140,612,499,167,28,87,25,103,7,81,0,3,0.453,0.565,1.018,9.68,9.29
吉田　正尚,オリックス,0.322,143,610,521,168,29,85,5,79,5,64,0,12,0.413,0.543,0.956,8.33,8.06
源田　壮亮,西武,0.274,135,609,540,148,2,41,30,40,1,67,25,9,0.324,0.35,0.674,4.01,3.92
近藤　健介,日本ハム,0.302,138,600,490,148,2,59,1,103,2,81,0,11,0.422,0.4,0.822,6.64,6.44
ロペス,DeNA,0.241,142,597,551,133,31,84,0,39,4,107,0,18,0.295,0.461,0.756,4.37,4.42
ビシエド,中日,0.315,143,594,534,168,18,93,2,41,13,88,0,22,0.374,0.496,0.87,6.31,6.04
大田　泰示,日本ハム,0.289,132,594,557,161,20,77,6,27,5,111,0,22,0.325,0.451,0.776,4.78,4.71
村上　宗隆,ヤクルト,0.231,143,593,511,118,36,96,5,74,5,184,0,9,0.332,0.481,0.814,5.42,5.56
銀次,楽天,0.304,141,590,529,161,5,56,2,52,4,58,4,19,0.37,0.382,0.752,4.87,4.66
大山　悠輔,阪神,0.258,143,587,538,139,14,76,3,39,5,98,1,12,0.312,0.401,0.714,4.34,4.29
中村　奨吾,ロッテ,0.232,143,586,512,119,17,59,12,53,12,96,6,10,0.317,0.375,0.692,4.04,4.13
西川　龍馬,広島,0.297,138,585,535,159,16,64,6,32,2,81,11,9,0.336,0.441,0.777,5.1,5.01
島内　宏明,楽天,0.287,133,585,506,145,10,57,3,58,11,65,9,11,0.372,0.407,0.779,5.43,5.29
ソト,DeNA,0.269,141,584,516,139,43,108,0,59,5,98,0,14,0.348,0.554,0.902,6.56,6.62
福田　周平,オリックス,0.25,135,583,492,123,2,38,30,62,8,57,19,7,0.342,0.309,0.651,3.85,3.87
松田　宣浩,ソフトバンク,0.26,143,576,534,139,30,76,5,33,3,115,2,14,0.305,0.483,0.788,4.87,4.91
京田　陽太,中日,0.249,140,574,507,126,3,40,17,37,3,91,24,10,0.302,0.314,0.615,3.11,3.12
森　友哉,西武,0.329,135,573,492,162,23,105,3,72,2,89,1,9,0.413,0.547,0.959,8.38,8.11
糸原　健斗,阪神,0.267,143,572,491,131,2,45,6,60,7,70,11,7,0.353,0.336,0.689,4.39,4.34
荻野　貴司,ロッテ,0.315,125,569,508,160,10,46,28,40,8,56,9,4,0.371,0.47,0.842,6.58,6.3
青木　宣親,ヤクルト,0.297,134,565,489,145,16,58,1,61,11,72,1,13,0.385,0.442,0.826,6.17,6.06
中村　剛也,西武,0.286,135,557,496,142,30,123,2,54,4,123,0,12,0.359,0.528,0.887,6.61,6.49
筒香　嘉智,DeNA,0.272,131,557,464,126,29,79,0,88,2,141,0,5,0.388,0.511,0.899,7.35,7.29
レアード,ロッテ,0.248,139,553,487,121,32,89,0,55,8,128,0,18,0.333,0.483,0.815,5.22,5.32
渡邉　諒,日本ハム,0.262,132,543,481,126,11,58,0,48,6,120,3,8,0.333,0.385,0.718,4.53,4.59
内川　聖一,ソフトバンク,0.256,137,535,500,128,12,41,3,28,2,49,1,16,0.296,0.37,0.666,3.56,3.57
ブラッシュ,楽天,0.261,128,527,426,111,33,95,2,81,17,157,0,7,0.397,0.54,0.936,7.57,7.6
金子　侑司,西武,0.251,133,524,463,116,3,33,41,49,3,81,6,3,0.324,0.292,0.616,3.83,3.9
デスパイネ,ソフトバンク,0.259,130,519,448,116,36,88,0,63,5,119,0,6,0.355,0.52,0.875,6.54,6.68
中田　翔,日本ハム,0.242,124,514,450,109,24,80,0,55,5,83,0,16,0.329,0.449,0.778,4.84,4.93
井上　晴哉,ロッテ,0.252,129,509,429,108,24,65,0,67,9,98,0,10,0.362,0.462,0.824,5.91,5.99
亀井　善行,巨人,0.284,131,503,450,128,13,55,9,45,0,91,3,6,0.346,0.44,0.786,5.68,5.58
雄平,ヤクルト,0.273,131,493,447,122,12,56,4,37,2,71,1,4,0.327,0.396,0.723,4.75,4.79
梅野　隆太郎,阪神,0.266,129,492,433,115,9,59,14,34,6,83,16,16,0.326,0.393,0.718,4.15,4.08
大和,DeNA,0.237,137,490,438,104,0,37,3,34,6,75,10,7,0.3,0.285,0.585,2.93,2.93
阿部　寿樹,中日,0.291,129,484,447,130,7,59,1,31,1,82,3,9,0.337,0.405,0.742,4.89,4.7
宮﨑　敏郎,DeNA,0.284,114,473,433,123,15,49,0,32,3,35,0,13,0.334,0.443,0.777,5.1,5.07
ウィーラー,楽天,0.243,117,472,411,100,19,67,3,43,8,96,0,22,0.32,0.418,0.738,3.9,4.21
高橋　周平,中日,0.293,117,471,430,126,7,59,3,32,3,70,5,10,0.345,0.43,0.776,5.11,4.83
バレンティン,ヤクルト,0.28,120,468,410,115,33,93,0,54,1,117,0,11,0.363,0.554,0.917,6.85,6.88
栗山　巧,西武,0.252,123,466,409,103,7,54,0,48,3,100,3,13,0.333,0.355,0.687,3.99,3.98
神里　和毅,DeNA,0.279,123,458,427,119,6,35,15,26,2,121,3,7,0.323,0.407,0.731,4.43,4.22
甲斐　拓也,ソフトバンク,0.26,137,454,377,98,11,43,9,50,1,114,23,9,0.346,0.387,0.733,4.46,4.5
中村　悠平,ヤクルト,0.269,126,450,372,100,5,36,1,53,10,64,13,11,0.373,0.384,0.757,4.89,4.77
會澤　翼,広島,0.277,126,447,376,104,12,63,2,58,10,81,3,6,0.387,0.439,0.826,6.38,6.17
